Location,Country_code,Diseases,Diseases Deaths
Democratic People's Republic of Korea,PRK,Stroke,102300
Türkiye,TUR,Stroke,102433
Vanuatu,VUT,Chronic obstructive pulmonary disease,102.1
Brunei Darussalam,BRN,Lower respiratory infections,102.4
Switzerland,CHE,"Trachea, bronchus, lung cancers",1025
Seychelles,SYC,Lower respiratory infections,103
Hungary,HUN,Ischaemic heart disease,103102
Uganda,UGA,Lower respiratory infections,103279
Bahrain,BHR,"Trachea, bronchus, lung cancers",103.4
Malawi,MWI,"Trachea, bronchus, lung cancers",103.7
Lesotho,LSO,"Trachea, bronchus, lung cancers",103.8
Botswana,BWA,Chronic obstructive pulmonary disease,1030
Lithuania,LTU,"Trachea, bronchus, lung cancers",1034
Costa Rica,CRI,Lower respiratory infections,1035
Gabon,GAB,Stroke,1036
Croatia,HRV,Lower respiratory infections,1039
Seychelles,SYC,Stroke,104.2
Cyprus,CYP,Lower respiratory infections,104.4
Kuwait,KWT,Lower respiratory infections,1040
Portugal,PRT,Chronic obstructive pulmonary disease,1043
Mali,MLI,"Trachea, bronchus, lung cancers",1048
Myanmar,MMR,Ischaemic heart disease,105249
Spain,ESP,Ischaemic heart disease,105316
Saudi Arabia,SAU,"Trachea, bronchus, lung cancers",1050
Austria,AUT,Lower respiratory infections,1053
Belarus,BLR,Lower respiratory infections,1054
Afghanistan,AFG,Stroke,106666
Equatorial Guinea,GNQ,Ischaemic heart disease,1060
Cabo Verde,CPV,Ischaemic heart disease,1060
Turkmenistan,TKM,"Trachea, bronchus, lung cancers",1061
Panama,PAN,Lower respiratory infections,1064
New Zealand,NZL,Stroke,1065
Solomon Islands,SLB,Ischaemic heart disease,1068
Mozambique,MOZ,Lower respiratory infections,107398
South Africa,ZAF,Ischaemic heart disease,107466
Kiribati,KIR,Lower respiratory infections,107.1
Maldives,MDV,Lower respiratory infections,107.2
Cabo Verde,CPV,Chronic obstructive pulmonary disease,107.7
Kenya,KEN,"Trachea, bronchus, lung cancers",1075
Mauritius,MUS,Stroke,1075
Bosnia and Herzegovina,BIH,Chronic obstructive pulmonary disease,1076
Malawi,MWI,Chronic obstructive pulmonary disease,1079
Cabo Verde,CPV,"Trachea, bronchus, lung cancers",108.3
Montenegro,MNE,Lower respiratory infections,108.6
Nepal,NPL,Ischaemic heart disease,109330
Angola,AGO,Lower respiratory infections,109450
Yemen,YEM,Lower respiratory infections,109777
Luxembourg,LUX,Chronic obstructive pulmonary disease,109.4
Kiribati,KIR,Stroke,109.9
Eswatini,SWZ,Ischaemic heart disease,1092
Syrian Arab Republic,SYR,Stroke,11030
Kyrgyzstan,KGZ,Lower respiratory infections,11032
Colombia,COL,Chronic obstructive pulmonary disease,11061
Latvia,LVA,Ischaemic heart disease,11082
Chile,CHL,Lower respiratory infections,11095
Congo,COG,Lower respiratory infections,11124
Benin,BEN,Stroke,11130
Niger,NER,Chronic obstructive pulmonary disease,11148
France,FRA,Lower respiratory infections,11192
Sierra Leone,SLE,Ischaemic heart disease,11247
The former Yugoslav Republic of Macedonia,MKD,Ischaemic heart disease,11259
Ecuador,ECU,Lower respiratory infections,11331
Netherlands,NLD,Stroke,11336
Zimbabwe,ZWE,Stroke,11361
France,FRA,Chronic obstructive pulmonary disease,11375
Tunisia,TUN,Stroke,11420
El Salvador,SLV,Ischaemic heart disease,11427
Serbia,SRB,"Trachea, bronchus, lung cancers",11516
Peru,PER,Stroke,11549
Rwanda,RWA,Ischaemic heart disease,11555
Georgia,GEO,Stroke,11570
Lesotho,LSO,Ischaemic heart disease,11614
Central African Republic,CAF,Stroke,11619
Republic of Korea,KOR,Chronic obstructive pulmonary disease,11636
Lao People's Democratic Republic,LAO,Lower respiratory infections,11689
Romania,ROU,"Trachea, bronchus, lung cancers",11726
France,FRA,Lower respiratory infections,11751
Albania,ALB,Stroke,11810
Italy,ITA,Lower respiratory infections,11838
Senegal,SEN,Stroke,11840
Venezuela (Bolivarian Republic of),VEN,Stroke,11863
Morocco,MAR,"Trachea, bronchus, lung cancers",11869
Syrian Arab Republic,SYR,Stroke,11954
Ecuador,ECU,Stroke,11993
Kiribati,KIR,"Trachea, bronchus, lung cancers",11.15
Vanuatu,VUT,"Trachea, bronchus, lung cancers",11.18
Maldives,MDV,"Trachea, bronchus, lung cancers",11.18
Samoa,WSM,Stroke,110
United Republic of Tanzania,TZA,Lower respiratory infections,110231
Ethiopia,ETH,Stroke,110304
Afghanistan,AFG,Lower respiratory infections,110893
Algeria,DZA,Ischaemic heart disease,110978
Madagascar,MDG,Lower respiratory infections,110995
Fiji,FJI,Chronic obstructive pulmonary disease,110.5
Bhutan,BTN,Ischaemic heart disease,1105
Finland,FIN,Stroke,1109
Latvia,LVA,"Trachea, bronchus, lung cancers",1109
Brazil,BRA,Stroke,111317
Egypt,EGY,Stroke,111572
Djibouti,DJI,Stroke,1115
Finland,FIN,Stroke,1116
Pakistan,PAK,Chronic obstructive pulmonary disease,112269
Romania,ROU,Ischaemic heart disease,112793
Equatorial Guinea,GNQ,Ischaemic heart disease,1120
Oman,OMN,Chronic obstructive pulmonary disease,1123
Israel,ISR,Chronic obstructive pulmonary disease,1124
Uruguay,URY,"Trachea, bronchus, lung cancers",1128
Yemen,YEM,Ischaemic heart disease,113213
Saint Lucia,LCA,Stroke,113.9
Vanuatu,VUT,Ischaemic heart disease,1130
Sao Tome and Principe,STP,Lower respiratory infections,1131
Sweden,SWE,"Trachea, bronchus, lung cancers",1133
Morocco,MAR,"Trachea, bronchus, lung cancers",1138
Iran (Islamic Republic of),IRN,Stroke,114094
Slovenia,SVN,"Trachea, bronchus, lung cancers",1142
Mauritania,MRT,Chronic obstructive pulmonary disease,1145
Israel,ISR,"Trachea, bronchus, lung cancers",1146
Qatar,QAT,Lower respiratory infections,1146
Denmark,DNK,Lower respiratory infections,1147
Bangladesh,BGD,Chronic obstructive pulmonary disease,115119
United Kingdom of Great Britain and Northern Ireland,GBR,Ischaemic heart disease,115420
Qatar,QAT,Chronic obstructive pulmonary disease,115.9
Angola,AGO,"Trachea, bronchus, lung cancers",1158
Germany,DEU,Ischaemic heart disease,116033
Sri Lanka,LKA,Ischaemic heart disease,116136
Brazil,BRA,Lower respiratory infections,116202
Bosnia and Herzegovina,BIH,"Trachea, bronchus, lung cancers",1160
Sudan,SDN,Ischaemic heart disease,117063
Mali,MLI,Lower respiratory infections,117178
Estonia,EST,Chronic obstructive pulmonary disease,117.5
Burundi,BDI,"Trachea, bronchus, lung cancers",117.5
Turkmenistan,TKM,Chronic obstructive pulmonary disease,1172
Nicaragua,NIC,Chronic obstructive pulmonary disease,1173
Finland,FIN,Lower respiratory infections,118
Estonia,EST,Lower respiratory infections,118
Myanmar,MMR,Stroke,118120
Sierra Leone,SLE,Lower respiratory infections,118853
Côte d’Ivoire,CIV,"Trachea, bronchus, lung cancers",1189
Djibouti,DJI,Chronic obstructive pulmonary disease,119
Bulgaria,BGR,Ischaemic heart disease,119036
Malaysia,MYS,Ischaemic heart disease,119279
Viet Nam,VNM,Ischaemic heart disease,119631
Democratic Republic of the Congo,COD,Stroke,119754
Antigua and Barbuda,ATG,Ischaemic heart disease,119.8
Uruguay,URY,Chronic obstructive pulmonary disease,1193
Liberia,LBR,Chronic obstructive pulmonary disease,1194
Malaysia,MYS,Chronic obstructive pulmonary disease,12004
Czechia,CZE,Stroke,12018
Mongolia,MNG,Stroke,12024
Switzerland,CHE,Ischaemic heart disease,12039
United Arab Emirates,ARE,Stroke,12085
Netherlands,NLD,Chronic obstructive pulmonary disease,12091
Denmark,DNK,Ischaemic heart disease,12118
Peru,PER,Stroke,12119
Uganda,UGA,Chronic obstructive pulmonary disease,12143
United Kingdom of Great Britain and Northern Ireland,GBR,"Trachea, bronchus, lung cancers",12179
Chad,TCD,Stroke,12190
Kazakhstan,KAZ,"Trachea, bronchus, lung cancers",12200
Argentina,ARG,"Trachea, bronchus, lung cancers",12204
Sudan,SDN,Chronic obstructive pulmonary disease,12271
Albania,ALB,Ischaemic heart disease,12275
Germany,DEU,Lower respiratory infections,12297
Sweden,SWE,Ischaemic heart disease,12307
Spain,ESP,Chronic obstructive pulmonary disease,12321
Finland,FIN,Ischaemic heart disease,12368
Ethiopia,ETH,Chronic obstructive pulmonary disease,12377
Italy,ITA,"Trachea, bronchus, lung cancers",12448
Nepal,NPL,"Trachea, bronchus, lung cancers",12515
South Sudan,SSD,Ischaemic heart disease,12585
Russian Federation,RUS,Chronic obstructive pulmonary disease,12592
Greece,GRC,Lower respiratory infections,12648
Morocco,MAR,Chronic obstructive pulmonary disease,12663
Burundi,BDI,Ischaemic heart disease,12680
Syrian Arab Republic,SYR,Lower respiratory infections,12720
Ecuador,ECU,Ischaemic heart disease,12822
Hungary,HUN,"Trachea, bronchus, lung cancers",12837
Venezuela (Bolivarian Republic of),VEN,Stroke,12901
Italy,ITA,Lower respiratory infections,12901
Guatemala,GTM,Stroke,12943
The former Yugoslav Republic of Macedonia,MKD,Stroke,12990
Samoa,WSM,"Trachea, bronchus, lung cancers",12.11
Botswana,BWA,"Trachea, bronchus, lung cancers",12.24
Saint Vincent and the Grenadines,VCT,Chronic obstructive pulmonary disease,12.44
Bahamas,BHS,Chronic obstructive pulmonary disease,12.74
Tajikistan,TJK,"Trachea, bronchus, lung cancers",1201
Ghana,GHA,"Trachea, bronchus, lung cancers",1203
Ireland,IRL,Lower respiratory infections,1206
Croatia,HRV,"Trachea, bronchus, lung cancers",1209
Mexico,MEX,Lower respiratory infections,121112
Iraq,IRQ,Ischaemic heart disease,121867
Bolivia (Plurinational State of),BOL,"Trachea, bronchus, lung cancers",1216
Sudan,SDN,Lower respiratory infections,122153
Kazakhstan,KAZ,Ischaemic heart disease,122500
Luxembourg,LUX,Lower respiratory infections,122.1
Zambia,ZMB,Chronic obstructive pulmonary disease,1221
Yemen,YEM,"Trachea, bronchus, lung cancers",1225
Benin,BEN,Lower respiratory infections,123127
Albania,ALB,Chronic obstructive pulmonary disease,1231
Suriname,SUR,Stroke,1232
Eswatini,SWZ,Stroke,1233
Burkina Faso,BFA,"Trachea, bronchus, lung cancers",1236
Timor-Leste,TLS,Stroke,1237
Namibia,"NAM",Stroke,1238
Belarus,BLR,Chronic obstructive pulmonary disease,1239
Kenya,KEN,Lower respiratory infections,124862
Comoros,COM,Chronic obstructive pulmonary disease,124.9
Croatia,HRV,Chronic obstructive pulmonary disease,1247
Sweden,SWE,Chronic obstructive pulmonary disease,1249
Myanmar,MMR,Stroke,125069
Colombia,COL,Ischaemic heart disease,125808
Micronesia (Federated States of),FSM,Stroke,125.5
Luxembourg,LUX,Stroke,125.7
Panama,PAN,Stroke,1250
Austria,AUT,Lower respiratory infections,1250
Timor-Leste,TLS,Stroke,1253
Ireland,IRL,"Trachea, bronchus, lung cancers",1255
Yemen,YEM,"Trachea, bronchus, lung cancers",1256
Malta,MLT,Ischaemic heart disease,1257
Thailand,THA,Ischaemic heart disease,126003
Italy,ITA,Ischaemic heart disease,126700
Japan,JPN,Lower respiratory infections,126711
Nigeria,NGA,Stroke,126880
Saint Lucia,LCA,Lower respiratory infections,126.2
Slovenia,SVN,Stroke,1268
Samoa,WSM,Lower respiratory infections,127
Malta,MLT,Chronic obstructive pulmonary disease,127.5
Panama,PAN,"Trachea, bronchus, lung cancers",127.5
Eritrea,ERI,Chronic obstructive pulmonary disease,1277
Switzerland,CHE,Chronic obstructive pulmonary disease,1279
Thailand,THA,Lower respiratory infections,128450
Belize,BLZ,Stroke,128.1
Finland,FIN,Lower respiratory infections,128.6
Montenegro,MNE,Chronic obstructive pulmonary disease,128.8
New Zealand,NZL,Stroke,1289
Burkina Faso,BFA,Lower respiratory infections,129783
Côte d’Ivoire,CIV,Lower respiratory infections,129814
Cameroon,CMR,"Trachea, bronchus, lung cancers",1291
Republic of Moldova,MDA,Lower respiratory infections,1292
Dominican Republic,DOM,Chronic obstructive pulmonary disease,1292
Nicaragua,NIC,Chronic obstructive pulmonary disease,1293
Lebanon,LBN,"Trachea, bronchus, lung cancers",1299
Ukraine,UKR,Chronic obstructive pulmonary disease,13007
Romania,ROU,Chronic obstructive pulmonary disease,13051
Congo,COG,Ischaemic heart disease,13074
Burkina Faso,BFA,Stroke,13114
South Africa,ZAF,"Trachea, bronchus, lung cancers",13117
Ghana,GHA,Chronic obstructive pulmonary disease,13168
Hungary,HUN,Chronic obstructive pulmonary disease,13170
Chad,TCD,Stroke,13170
Lesotho,LSO,Lower respiratory infections,13257
Sierra Leone,SLE,Ischaemic heart disease,13304
Benin,BEN,Ischaemic heart disease,13349
Somalia,SOM,Stroke,13385
Slovakia,SVK,Ischaemic heart disease,13432
Zambia,ZMB,Stroke,13469
Mali,MLI,Ischaemic heart disease,13559
Cameroon,CMR,Chronic obstructive pulmonary disease,13575
Portugal,PRT,Ischaemic heart disease,13577
Mexico,MEX,"Trachea, bronchus, lung cancers",13588
Iran (Islamic Republic of),IRN,Chronic obstructive pulmonary disease,13648
Belgium,BEL,Ischaemic heart disease,13665
Eritrea,ERI,Lower respiratory infections,13675
Honduras,HND,Stroke,13702
Chile,CHL,Ischaemic heart disease,13704
Afghanistan,AFG,Chronic obstructive pulmonary disease,13742
Colombia,COL,Stroke,13744
South Africa,ZAF,Chronic obstructive pulmonary disease,13789
Tajikistan,TJK,Stroke,13820
Myanmar,MMR,"Trachea, bronchus, lung cancers",13825
Türkiye,TUR,"Trachea, bronchus, lung cancers",13827
Spain,ESP,Stroke,13854
Congo,COG,Lower respiratory infections,13918
Lao People's Democratic Republic,LAO,Lower respiratory infections,13919
Thailand,THA,Chronic obstructive pulmonary disease,13958
Haiti,HTI,Stroke,13974
Fiji,FJI,"Trachea, bronchus, lung cancers",13.24
Micronesia (Federated States of),FSM,"Trachea, bronchus, lung cancers",13.34
Antigua and Barbuda,ATG,Chronic obstructive pulmonary disease,13.34
Vanuatu,VUT,"Trachea, bronchus, lung cancers",13.95
India,IND,"Trachea, bronchus, lung cancers",130977
Lithuania,LTU,"Trachea, bronchus, lung cancers",1301
Jamaica,JAM,Lower respiratory infections,1307
Syrian Arab Republic,SYR,Ischaemic heart disease,131302
France,FRA,Ischaemic heart disease,131655
Sri Lanka,LKA,"Trachea, bronchus, lung cancers",1314
Bhutan,BTN,Chronic obstructive pulmonary disease,1318
Viet Nam,VNM,Lower respiratory infections,132480
Ghana,GHA,Lower respiratory infections,132761
Luxembourg,LUX,Stroke,132.1
Luxembourg,LUX,Chronic obstructive pulmonary disease,132.4
Latvia,LVA,Lower respiratory infections,1320
Djibouti,DJI,Ischaemic heart disease,1324
New Zealand,NZL,"Trachea, bronchus, lung cancers",1325
Cambodia,KHM,"Trachea, bronchus, lung cancers",1327
El Salvador,SLV,Chronic obstructive pulmonary disease,1329
Singapore,SGP,Stroke,1335
Uganda,UGA,Lower respiratory infections,134036
Republic of Moldova,MDA,Chronic obstructive pulmonary disease,1342
Namibia,"NAM",Stroke,1342
Jordan,JOR,Chronic obstructive pulmonary disease,1348
Fiji,FJI,Ischaemic heart disease,1349
Sierra Leone,SLE,"Trachea, bronchus, lung cancers",135.5
Timor-Leste,TLS,"Trachea, bronchus, lung cancers",135.8
Trinidad and Tobago,TTO,Stroke,1355
Central African Republic,CAF,Chronic obstructive pulmonary disease,1357
Argentina,ARG,Ischaemic heart disease,136046
Egypt,EGY,Lower respiratory infections,136372
Sao Tome and Principe,STP,Stroke,136.5
Luxembourg,LUX,"Trachea, bronchus, lung cancers",136.9
Paraguay,PRY,Chronic obstructive pulmonary disease,1360
Costa Rica,CRI,Stroke,1361
Singapore,SGP,"Trachea, bronchus, lung cancers",1366
Niger,NER,Lower respiratory infections,137633
Maldives,MDV,Chronic obstructive pulmonary disease,137.8
Bahrain,BHR,Stroke,1375
Togo,TGO,Chronic obstructive pulmonary disease,1376
Viet Nam,VNM,Stroke,138636
Afghanistan,AFG,Lower respiratory infections,138642
Morocco,MAR,Ischaemic heart disease,138964
Latvia,LVA,Chronic obstructive pulmonary disease,138.8
Zimbabwe,ZWE,Chronic obstructive pulmonary disease,1381
Slovenia,SVN,Stroke,1382
Costa Rica,CRI,Chronic obstructive pulmonary disease,1385
Libya,LBY,Chronic obstructive pulmonary disease,1386
South Africa,ZAF,Lower respiratory infections,139548
Japan,JPN,Stroke,139612
Barbados,BRB,Lower respiratory infections,139.4
Saint Lucia,LCA,Ischaemic heart disease,139.8
Luxembourg,LUX,Ischaemic heart disease,1391
Panama,PAN,Lower respiratory infections,1392
El Salvador,SLV,Chronic obstructive pulmonary disease,1395
Bhutan,BTN,Lower respiratory infections,1396
Georgia,GEO,Stroke,14080
Spain,ESP,Stroke,14088
Mali,MLI,Stroke,14109
Venezuela (Bolivarian Republic of),VEN,Lower respiratory infections,14163
Spain,ESP,"Trachea, bronchus, lung cancers",14246
Honduras,HND,Ischaemic heart disease,14253
Sri Lanka,LKA,Lower respiratory infections,14296
Israel,ISR,Ischaemic heart disease,14368
Guinea,GIN,Stroke,14436
Viet Nam,VNM,"Trachea, bronchus, lung cancers",14443
Honduras,HND,Ischaemic heart disease,14491
Tajikistan,TJK,Stroke,14627
Zambia,ZMB,Ischaemic heart disease,14633
Spain,ESP,Lower respiratory infections,14639
United Kingdom of Great Britain and Northern Ireland,GBR,"Trachea, bronchus, lung cancers",14730
Croatia,HRV,Ischaemic heart disease,14759
Yemen,YEM,Chronic obstructive pulmonary disease,14857
Kazakhstan,KAZ,Chronic obstructive pulmonary disease,14877
Jordan,JOR,Ischaemic heart disease,14923
Chad,TCD,Ischaemic heart disease,14934
Dominican Republic,DOM,Ischaemic heart disease,14942
Tonga,TON,"Trachea, bronchus, lung cancers",14.03
Kiribati,KIR,Chronic obstructive pulmonary disease,14.13
Eswatini,SWZ,"Trachea, bronchus, lung cancers",14.22
Grenada,GRD,Chronic obstructive pulmonary disease,14.38
Saint Lucia,LCA,Chronic obstructive pulmonary disease,14.63
Grenada,GRD,"Trachea, bronchus, lung cancers",14.71
Thailand,THA,Stroke,140123
Nigeria,NGA,Stroke,140357
Indonesia,IDN,Chronic obstructive pulmonary disease,140872
Benin,BEN,"Trachea, bronchus, lung cancers",140.4
Suriname,SUR,"Trachea, bronchus, lung cancers",140.6
Turkmenistan,TKM,"Trachea, bronchus, lung cancers",1404
Azerbaijan,AZE,Ischaemic heart disease,141581
Afghanistan,AFG,Ischaemic heart disease,141634
Central African Republic,CAF,"Trachea, bronchus, lung cancers",141.5
Republic of Moldova,MDA,"Trachea, bronchus, lung cancers",1410
Lesotho,LSO,Chronic obstructive pulmonary disease,1411
Ukraine,UKR,Stroke,142765
The former Yugoslav Republic of Macedonia,MKD,Chronic obstructive pulmonary disease,1422
Sweden,SWE,Lower respiratory infections,1423
Qatar,QAT,Stroke,1424
Mauritius,MUS,"Trachea, bronchus, lung cancers",143
Philippines,PHL,Stroke,143157
Cameroon,CMR,Lower respiratory infections,143480
Japan,JPN,Ischaemic heart disease,143536
Brunei Darussalam,BRN,Stroke,143.6
Denmark,DNK,"Trachea, bronchus, lung cancers",1433
Denmark,DNK,Lower respiratory infections,1434
Costa Rica,CRI,Stroke,1437
Cabo Verde,CPV,Lower respiratory infections,1438
Türkiye,TUR,Ischaemic heart disease,144685
Chad,TCD,Lower respiratory infections,144704
Burundi,BDI,"Trachea, bronchus, lung cancers",144.1
Indonesia,IDN,Lower respiratory infections,145596
Madagascar,MDG,"Trachea, bronchus, lung cancers",145.5
Algeria,DZA,"Trachea, bronchus, lung cancers",1450
Saint Lucia,LCA,Stroke,146.4
Albania,ALB,"Trachea, bronchus, lung cancers",1462
United States of America,USA,Stroke,147336
Uruguay,URY,Stroke,1479
Malta,MLT,Lower respiratory infections,148.5
Belize,BLZ,Lower respiratory infections,148.6
Haiti,HTI,Chronic obstructive pulmonary disease,1480
Mongolia,MNG,"Trachea, bronchus, lung cancers",1487
Barbados,BRB,Lower respiratory infections,149
Poland,POL,Ischaemic heart disease,149539
Seychelles,SYC,Ischaemic heart disease,149.2
Lithuania,LTU,Lower respiratory infections,1497
Equatorial Guinea,GNQ,Stroke,1498
Bulgaria,BGR,"Trachea, bronchus, lung cancers",1499
Iran (Islamic Republic of),IRN,"Trachea, bronchus, lung cancers",15004
Bosnia and Herzegovina,BIH,Ischaemic heart disease,15045
Brazil,BRA,"Trachea, bronchus, lung cancers",15051
Argentina,ARG,Chronic obstructive pulmonary disease,15060
Malawi,MWI,Ischaemic heart disease,15072
Sri Lanka,LKA,Chronic obstructive pulmonary disease,15076
Angola,AGO,Stroke,15106
Guinea-Bissau,GNB,Lower respiratory infections,15107
Singapore,SGP,Ischaemic heart disease,15176
Kyrgyzstan,KGZ,Stroke,15195
Romania,ROU,"Trachea, bronchus, lung cancers",15239
Gambia,GMB,Lower respiratory infections,15241
Guinea,GIN,Ischaemic heart disease,15280
Afghanistan,AFG,Chronic obstructive pulmonary disease,15284
Armenia,ARM,Ischaemic heart disease,15286
Haiti,HTI,Lower respiratory infections,15286
Lao People's Democratic Republic,LAO,Ischaemic heart disease,15359
Paraguay,PRY,Ischaemic heart disease,15364
Australia,AUS,Ischaemic heart disease,15402
Netherlands,NLD,Ischaemic heart disease,15554
Lithuania,LTU,Ischaemic heart disease,15582
Indonesia,IDN,"Trachea, bronchus, lung cancers",15606
Belarus,BLR,Stroke,15611
Austria,AUT,Ischaemic heart disease,15622
Burkina Faso,BFA,Stroke,15702
Syrian Arab Republic,SYR,Lower respiratory infections,15773
Colombia,COL,Stroke,15788
Bangladesh,BGD,"Trachea, bronchus, lung cancers",15788
Senegal,SEN,Ischaemic heart disease,15825
Malawi,MWI,Stroke,15834
Burundi,BDI,Stroke,15858
Togo,TGO,Ischaemic heart disease,15981
Côte d’Ivoire,CIV,Stroke,15991
Eswatini,SWZ,"Trachea, bronchus, lung cancers",15.04
Angola,AGO,Lower respiratory infections,150342
Congo,COG,"Trachea, bronchus, lung cancers",150.2
Denmark,DNK,"Trachea, bronchus, lung cancers",1503
Trinidad and Tobago,TTO,Chronic obstructive pulmonary disease,151
Myanmar,MMR,Lower respiratory infections,151243
Georgia,GEO,Lower respiratory infections,1514
Gambia,GMB,"Trachea, bronchus, lung cancers",152.4
Suriname,SUR,Ischaemic heart disease,1525
Timor-Leste,TLS,Ischaemic heart disease,1528
Grenada,GRD,Stroke,153.4
Somalia,SOM,Lower respiratory infections,155371
Saint Vincent and the Grenadines,VCT,Ischaemic heart disease,155.4
Vanuatu,VUT,Chronic obstructive pulmonary disease,155.6
Switzerland,CHE,Chronic obstructive pulmonary disease,1556
Albania,ALB,Lower respiratory infections,1559
Uzbekistan,UZB,Ischaemic heart disease,156019
Gabon,GAB,"Trachea, bronchus, lung cancers",156.6
Sao Tome and Principe,STP,Chronic obstructive pulmonary disease,156.7
Malta,MLT,Lower respiratory infections,156.7
Norway,NOR,Stroke,1567
Armenia,ARM,Chronic obstructive pulmonary disease,1568
Comoros,COM,Ischaemic heart disease,1568
Mongolia,MNG,Chronic obstructive pulmonary disease,1569
Gambia,GMB,"Trachea, bronchus, lung cancers",157.1
Ecuador,ECU,Chronic obstructive pulmonary disease,1571
Bhutan,BTN,"Trachea, bronchus, lung cancers",158.6
Mexico,MEX,Ischaemic heart disease,159688
Suriname,SUR,Chronic obstructive pulmonary disease,159.2
Eswatini,SWZ,Chronic obstructive pulmonary disease,159.3
Sudan,SDN,"Trachea, bronchus, lung cancers",1593
Gabon,GAB,Stroke,1597
Central African Republic,CAF,Ischaemic heart disease,16024
Belarus,BLR,Stroke,16067
Italy,ITA,Chronic obstructive pulmonary disease,16107
Mauritania,MRT,Lower respiratory infections,16142
Benin,BEN,Ischaemic heart disease,16191
Colombia,COL,Lower respiratory infections,16210
Serbia,SRB,"Trachea, bronchus, lung cancers",16226
Turkmenistan,TKM,Lower respiratory infections,16228
Togo,TGO,Stroke,16288
Zimbabwe,ZWE,Ischaemic heart disease,16300
Japan,JPN,"Trachea, bronchus, lung cancers",16340
Azerbaijan,AZE,Lower respiratory infections,16356
Sierra Leone,SLE,Stroke,16384
